eventID,occurrenceID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,taxonID,recordedBy,recordedByID,dateIdentified,individualCount,organismQuantity,organismQuantityType,measurementUnitID,lifeStage,establishmentMeans,occurrenceStatus,preparations,scientificNameID,basisOfRecord,datasetID,eventDate,identificationReferences,verbatimIdentification,georeferenceVerificationStatusProperty,dispostion
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104192:adult,Acrocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Acrocalanus,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,466.6666666666667,3.2347024747554904,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104192,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Acrocalanus spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104193:adult,Calocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,1533.3333333333335,10.62830813133947,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104193,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Calocalanus spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:106674:larvae,Caridea,Animalia,Arthropoda,Malacostraca,Decapoda,,,Infraorder,120,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,66.66666666666666,0.46210035353649853,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,larvae,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:106674,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Caridean larvae,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104159:adult,Centropages,Animalia,Arthropoda,Copepoda,Calanoida,Centropagidae,Centropages,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,133.33333333333331,0.9242007070729971,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104159,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Centropages spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:719595:adult,Cirrifer,Animalia,Mollusca,Gastropoda,Pteropoda,Pneumodermatidae,Cirrifer,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,66.66666666666666,0.46210035353649853,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:719595,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Cirriped,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104161:adult,Clausocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,2666.666666666667,18.484014141459948,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104161,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Clausocalaus spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:129038:adult,Copilia mirabilis,Animalia,Arthropoda,Copepoda,Cyclopoida,Sapphirinidae,Copilia,Species,220,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,66.66666666666666,0.46210035353649853,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:129038,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Copilia mirabilis,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:128634:adult,Corycaeus,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Corycaeus,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,1066.6666666666665,7.3936056565839765,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:128634,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Corycaeus spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:137212:adult,Doliolida,Animalia,Chordata,Thaliacea,Doliolida,,,Order,100,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,133.33333333333331,0.9242007070729971,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:137212,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Doliolids,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:101084:larvae,Echinoderes,Animalia,Kinorhyncha,Cyclorhagida,Echinorhagata,Echinoderidae,Echinoderes,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,200,1.3863010606094959,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,larvae,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:101084,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Echinoderm larvae,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104171:adult,Eucalanus,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,266.66666666666663,1.8484014141459941,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104171,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Eucalanus spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:128636:adult,Farranula,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Farranula,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,133.33333333333331,0.9242007070729971,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:128636,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Farranula spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:11014:larvae,Perciformes,Animalia,Chordata,Actinopteri,Perciformes,,,Order,100,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,66.66666666666666,0.46210035353649853,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,larvae,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:11014,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Fish Larvae,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:1205:adult,Hyperiidea,Animalia,Arthropoda,Malacostraca,Amphipoda,,,Suborder,110,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,200,1.3863010606094959,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:1205,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Hyperiid Amphipods,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:135220:adult,Scyphozoa,Animalia,Cnidaria,Scyphozoa,,,,Class,60,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,466.6666666666667,3.2347024747554904,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:135220,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Jellyfish,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:103357:adult,Appendicularia,Animalia,Chordata,Appendicularia,Copelata,Fritillariidae,Appendicularia,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,3666.6666666666665,25.415519444507424,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:103357,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Larvaceans,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:103357:adult,Appendicularia,Animalia,Chordata,Appendicularia,Copelata,Fritillariidae,Appendicularia,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,3666.6666666666665,25.415519444507424,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:103357,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Larvaceans,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:115341:adult,Microsetella,Animalia,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Microsetella,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,66.66666666666666,0.46210035353649853,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:115341,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Microsatellae spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104154:adult,Nannocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Nannocalanus,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,1733.3333333333333,12.014609191948963,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104154,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Nannoccalanus spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104154:adult,Nannocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Nannocalanus,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,1733.3333333333333,12.014609191948963,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104154,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Nannoccalanus spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:106485:adult,Oithona,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,1333.3333333333335,9.242007070729974,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:106485,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Oithona spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:128690:adult,Oncaea,Animalia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Oncaea,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,533.3333333333333,3.6968028282919883,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:128690,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Oncaea spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104196:adult,Paracalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,666.6666666666667,4.621003535364987,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104196,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Paracalanus spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:347746:adult,Parvocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Parvocalanus,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,466.6666666666667,3.2347024747554904,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:347746,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Parvocalanus spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:883:larvae,Polychaeta,Animalia,Annelida,Polychaeta,,,,Class,60,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,66.66666666666666,0.46210035353649853,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,larvae,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:883,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Polychaete Larvae,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104209:adult,Pontella,Animalia,Arthropoda,Copepoda,Calanoida,Pontellidae,Pontella,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,266.66666666666663,1.8484014141459941,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104209,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Pontella spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104209:adult,Pontella,Animalia,Arthropoda,Copepoda,Calanoida,Pontellidae,Pontella,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,266.66666666666663,1.8484014141459941,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104209,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Pontella spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:325345:adult,Pteropoda,Animalia,Mollusca,Gastropoda,Pteropoda,,,Order,100,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,66.66666666666666,0.46210035353649853,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:325345,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Pteropods,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:10194:eggs,Actinopterygii,Animalia,Chordata,,,,,Gigaclass,48,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,600,4.158903181828488,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,eggs,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:10194,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Round Fish Eggs,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:137233:adult,Salpa,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,133.33333333333331,0.9242007070729971,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:137233,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Salps,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:128722:adult,Sapphirina,Animalia,Arthropoda,Copepoda,Cyclopoida,Sapphirinidae,Sapphirina,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,66.66666666666666,0.46210035353649853,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:128722,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Saphirinna spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104230:adult,Scolecithrix,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithrix,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,66.66666666666666,0.46210035353649853,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104230,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Scolecithrix. sp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:106829:adult,Sergestes,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Sergestes,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,66.66666666666666,0.46210035353649853,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:106829,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Sergestid,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:106829:adult,Sergestes,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Sergestes,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,66.66666666666666,0.46210035353649853,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:106829,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Sergestid,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:254409:adult,Siphonophora,Animalia,Cnidaria,Hydrozoa,Siphonophora,,,Order,100,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,133.33333333333331,0.9242007070729971,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:254409,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Siphonophore,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104173:adult,Subeucalanus,Animalia,Arthropoda,Copepoda,Calanoida,Subeucalanidae,Subeucalanus,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,266.66666666666663,1.8484014141459941,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104173,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Subeucalanus spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104241:adult,Temora,Animalia,Arthropoda,Copepoda,Calanoida,Temoridae,Temora,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,66.66666666666666,0.46210035353649853,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104241,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Temora sp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104241:adult,Temora,Animalia,Arthropoda,Copepoda,Calanoida,Temoridae,Temora,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,66.66666666666666,0.46210035353649853,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104241,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Temora sp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104473:adult,Undinula vulgaris,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Undinula,Species,220,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,666.6666666666667,4.621003535364987,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104473,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Undinula vulgaris,verified by contributor,in collection
